id,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,Adopted
590,Dog,Poodle,109,White,Medium,10.479904628612587,1,1,45,136,0,0
592,Bird,Parakeet,38,Orange,Large,21.205889633126727,0,0,37,238,0,0
593,Dog,Labrador,3,Gray,Large,15.57627335301635,1,0,50,369,1,1
595,Cat,Persian,176,Gray,Medium,2.586711070175558,1,1,13,196,0,0
597,Rabbit,Rabbit,46,Orange,Small,11.991169162167784,1,0,70,196,0,0
598,Rabbit,Rabbit,150,Brown,Large,4.64188097859466,1,0,40,445,0,0
599,Cat,Persian,103,White,Small,29.813767011757346,1,0,30,175,1,0
601,Bird,Parakeet,175,White,Small,14.213142845300805,1,0,67,220,0,0
602,Cat,Persian,46,Orange,Large,16.681967554733333,0,0,17,181,0,0
604,Bird,Parakeet,148,White,Medium,23.9030914383044,1,0,85,437,0,0
606,Dog,Golden Retriever,30,Black,Large,9.37634301984789,0,0,17,37,0,0
607,Dog,Golden Retriever,24,Gray,Small,14.66962804782746,1,0,81,135,0,0
608,Dog,Labrador,78,Black,Small,15.717763739610612,1,0,88,127,0,1
610,Bird,Parakeet,148,Black,Small,9.643669582049476,0,0,34,426,0,0
611,Bird,Parakeet,62,Brown,Medium,13.979528564731192,1,0,69,215,1,1
613,Rabbit,Rabbit,49,Black,Medium,6.545105014655512,1,1,58,203,1,0
614,Bird,Parakeet,131,Orange,Medium,29.907423667686768,1,0,69,232,0,1
615,Rabbit,Rabbit,54,White,Medium,19.299991095649418,1,1,2,36,0,0
616,Bird,Parakeet,11,Brown,Medium,13.4386498253176,1,0,72,272,1,1
617,Rabbit,Rabbit,105,Brown,Medium,28.88009163416774,1,0,46,307,0,1
619,Bird,Parakeet,143,Orange,Medium,27.615000636419666,0,1,44,409,0,0
620,Rabbit,Rabbit,49,Black,Large,18.19649832805553,1,1,71,436,0,0
621,Dog,Golden Retriever,73,Brown,Large,14.051505986062873,1,0,29,384,1,0
622,Cat,Persian,41,White,Large,12.636324912908114,1,0,8,423,0,0
623,Bird,Parakeet,120,Brown,Medium,29.947656579855785,1,0,41,164,0,1
624,Cat,Persian,65,White,Large,9.667032474819164,1,0,44,68,1,0
625,Cat,Persian,31,Orange,Medium,4.587034667799061,1,0,21,359,0,1
627,Rabbit,Rabbit,135,Gray,Large,2.86332896568372,0,1,50,342,0,0
628,Dog,Labrador,166,Gray,Small,16.78131132032725,0,1,28,87,0,0
629,Cat,Persian,142,Black,Medium,3.861871605037698,0,0,13,329,0,0
630,Dog,Golden Retriever,54,Gray,Medium,24.09228480534123,0,0,74,95,0,0
631,Bird,Parakeet,22,Gray,Small,13.886213686827354,0,0,79,408,1,0
632,Rabbit,Rabbit,124,Brown,Small,4.7269543848793765,1,1,59,150,0,0
633,Cat,Siamese,121,White,Medium,23.17247964902348,1,1,86,352,1,0
634,Rabbit,Rabbit,109,Gray,Large,16.525755306513435,1,0,74,471,1,0
635,Cat,Siamese,3,White,Large,20.48857310323552,0,0,6,432,0,0
636,Rabbit,Rabbit,124,Black,Medium,4.608592030455901,1,0,7,314,1,1
637,Rabbit,Rabbit,126,Gray,Large,29.94878674903289,1,1,71,76,0,0
639,Rabbit,Rabbit,76,Brown,Small,21.91733080024097,0,0,81,397,0,0
640,Cat,Persian,146,Orange,Small,8.987467205544712,1,1,13,245,1,0
641,Cat,Siamese,159,Gray,Large,11.144297280835804,1,0,6,464,1,0
642,Dog,Labrador,170,Orange,Small,24.07781520411856,1,0,84,345,0,1
643,Dog,Labrador,127,Black,Medium,19.90417471578057,1,0,36,225,1,1
644,Dog,Poodle,24,White,Large,13.39766540768762,1,0,61,424,0,0
646,Bird,Parakeet,47,White,Large,9.978421607479502,0,1,7,377,0,0
648,Dog,Poodle,18,Orange,Medium,15.664034365476365,1,1,23,452,0,1
649,Rabbit,Rabbit,126,White,Medium,18.51978823683952,1,0,10,267,1,0
650,Dog,Labrador,170,Gray,Medium,22.703783987746096,1,0,10,419,1,1
651,Bird,Parakeet,134,Black,Small,2.40140785680651,0,1,36,195,0,0
652,Bird,Parakeet,162,Orange,Medium,12.665968255511572,0,0,82,208,0,1
653,Cat,Siamese,66,Brown,Small,6.463165270711317,1,0,2,486,0,0
654,Cat,Persian,175,Black,Large,13.082445084998763,0,1,80,236,0,0
655,Cat,Persian,8,White,Medium,5.343536818746178,1,0,50,482,1,1
656,Cat,Siamese,153,Brown,Large,14.564711585865243,1,0,88,199,0,0
658,Rabbit,Rabbit,19,Orange,Small,25.312234217421462,0,0,51,461,0,0
659,Rabbit,Rabbit,87,Gray,Large,22.930774104670185,1,0,51,425,0,0
660,Dog,Labrador,58,Black,Small,4.081125545617255,1,1,21,156,1,0
661,Bird,Parakeet,101,Orange,Large,22.090785643120583,1,1,15,1,1,0
662,Rabbit,Rabbit,54,Black,Medium,25.773483785064244,1,0,34,172,0,1
663,Bird,Parakeet,172,Brown,Large,14.748960199425742,1,0,41,3,1,0
664,Dog,Poodle,108,Gray,Small,15.752066281151905,1,1,74,287,0,0
665,Rabbit,Rabbit,57,Gray,Medium,12.998254029829566,1,0,76,72,0,1
666,Cat,Persian,126,Orange,Medium,12.928578419605866,1,1,20,142,1,0
667,Dog,Labrador,129,Gray,Small,15.079431568197242,1,0,71,445,0,1
669,Bird,Parakeet,120,Orange,Large,28.11959859892201,0,0,4,103,0,0
670,Dog,Poodle,176,Gray,Small,21.194510543457884,0,0,61,99,0,0
671,Rabbit,Rabbit,28,White,Small,14.198602699950314,1,0,1,342,0,0
672,Dog,Poodle,28,Gray,Medium,26.37464295352689,1,0,27,311,0,1
673,Rabbit,Rabbit,173,White,Small,5.122084754339614,0,0,50,221,0,0
674,Cat,Persian,61,Gray,Small,12.751238575679082,1,0,58,297,1,0
675,Dog,Golden Retriever,149,Brown,Small,4.081711238979479,1,0,38,77,0,0
676,Cat,Persian,33,Black,Large,17.607801659843993,1,0,55,390,0,0
677,Rabbit,Rabbit,124,Brown,Small,9.171957777768714,0,0,38,52,0,0
678,Rabbit,Rabbit,85,Brown,Small,8.045415488924274,0,0,44,214,0,0
679,Rabbit,Rabbit,51,Gray,Medium,22.73881424724543,0,0,12,256,0,0
681,Bird,Parakeet,100,Brown,Large,26.14531991759429,1,1,78,362,0,0
684,Dog,Labrador,5,Brown,Small,7.062685734645118,1,0,44,135,0,1
685,Bird,Parakeet,139,Black,Small,20.94939265220441,1,0,11,175,0,0
686,Dog,Poodle,127,Gray,Medium,14.22688627321516,1,0,30,236,0,1
687,Cat,Persian,154,White,Medium,3.0241850619477426,0,0,46,429,0,0
688,Cat,Siamese,99,White,Medium,19.792918062595,1,0,75,341,1,1
689,Rabbit,Rabbit,127,Gray,Medium,9.777697100983886,0,0,52,303,0,0
691,Dog,Poodle,34,White,Large,24.58879991337571,1,0,79,36,0,0
692,Dog,Poodle,95,Black,Small,18.012743505472827,1,0,85,178,0,0
693,Dog,Poodle,113,Black,Small,10.889584995424984,0,0,46,130,0,0
695,Dog,Labrador,32,Gray,Small,18.11495243584257,1,0,22,124,1,1
696,Bird,Parakeet,113,Orange,Large,5.176093493674841,1,0,22,497,0,0
697,Dog,Golden Retriever,4,White,Large,4.642852781530841,1,1,15,313,0,0
698,Rabbit,Rabbit,60,Black,Small,22.130473647190072,0,0,53,59,0,0
699,Cat,Persian,36,Black,Small,21.62670891660314,1,0,67,445,0,0
700,Bird,Parakeet,76,Gray,Medium,4.082076835545538,0,0,68,191,1,0
701,Dog,Golden Retriever,47,Orange,Large,7.681457073922368,1,1,82,330,0,0
702,Cat,Persian,64,Black,Small,19.25328762239592,1,0,79,181,0,0
703,Dog,Poodle,126,Orange,Large,8.981847072002552,1,1,36,111,0,0
704,Dog,Labrador,80,Brown,Small,23.472925696872693,1,1,27,282,0,0
705,Rabbit,Rabbit,101,Gray,Medium,23.390596192557265,0,0,1,285,0,0
706,Dog,Golden Retriever,49,Orange,Medium,10.888030340412056,1,1,63,116,0,0
708,Bird,Parakeet,82,Orange,Large,26.71184918069131,0,1,8,132,0,0
709,Dog,Golden Retriever,120,White,Small,21.105626587993267,1,0,53,231,1,1
710,Bird,Parakeet,154,Orange,Small,26.776797853409164,1,0,44,82,0,0
711,Cat,Siamese,99,Orange,Large,12.169716205403676,1,1,8,128,0,0
713,Bird,Parakeet,133,Orange,Large,20.429127798803044,1,0,57,27,1,0
714,Bird,Parakeet,126,White,Small,17.296495189803938,1,0,41,449,0,0
715,Cat,Siamese,11,Brown,Large,3.9723935464871714,1,1,7,342,1,0
716,Rabbit,Rabbit,99,Gray,Small,20.51195076818444,1,0,36,399,0,0
717,Rabbit,Rabbit,12,Gray,Small,8.947206101424,0,0,49,33,0,0
718,Cat,Siamese,141,Black,Medium,12.923319037864022,0,1,45,2,1,1
719,Cat,Siamese,17,Black,Medium,7.040052579452828,0,0,24,28,1,1
720,Rabbit,Rabbit,141,Gray,Medium,9.494830898690564,1,0,42,379,0,1
721,Rabbit,Rabbit,82,White,Medium,3.322595780463676,0,1,48,466,1,0
722,Rabbit,Rabbit,29,Orange,Medium,9.879681693980356,0,0,83,338,0,0
725,Bird,Parakeet,141,Black,Medium,9.86380640824932,1,0,15,479,1,1
726,Cat,Persian,4,Orange,Medium,28.043546488264493,0,1,87,375,0,0
727,Dog,Poodle,143,Black,Small,13.35754875820208,0,0,52,241,0,0
728,Bird,Parakeet,30,Black,Medium,26.76746536721006,0,0,45,419,0,0
729,Bird,Parakeet,120,Brown,Small,2.020064314416301,1,0,64,307,1,0
731,Cat,Siamese,28,Brown,Large,18.642151349418683,1,0,88,492,0,0
732,Rabbit,Rabbit,140,White,Large,4.464017634964288,0,0,45,27,0,0
733,Dog,Labrador,21,Orange,Medium,21.78483898726161,0,0,23,227,0,1
734,Rabbit,Rabbit,22,Orange,Medium,10.235107037368326,0,0,18,357,0,1
735,Cat,Persian,109,White,Large,24.36458599223842,1,0,74,342,0,0
736,Dog,Golden Retriever,101,White,Large,17.947481726094264,0,0,3,279,0,0
737,Cat,Persian,156,White,Large,24.97553042869984,0,1,65,449,0,0
738,Cat,Siamese,74,Black,Medium,8.674835644964084,1,0,56,266,1,1
741,Bird,Parakeet,35,Gray,Large,21.421091129646005,0,1,25,353,0,0
743,Cat,Persian,132,Brown,Large,17.281712960060606,1,1,4,481,1,0
745,Bird,Parakeet,52,Black,Large,23.66892583522553,1,0,70,88,0,1
746,Bird,Parakeet,8,White,Large,26.86432077024389,0,0,49,122,0,0
747,Cat,Siamese,107,Black,Small,16.15918966364878,0,0,10,129,0,0
748,Rabbit,Rabbit,32,White,Small,18.66183939650056,0,0,52,306,0,1
750,Rabbit,Rabbit,178,Brown,Large,5.744644204467654,1,0,36,55,0,0
751,Cat,Persian,132,Orange,Small,19.37886852851976,1,0,35,235,0,0
753,Bird,Parakeet,66,White,Medium,6.588041746096071,0,1,47,446,0,0
754,Bird,Parakeet,25,Brown,Small,20.816464516204167,1,0,40,81,1,0
755,Bird,Parakeet,122,Black,Large,5.221457785163836,1,1,44,247,1,0
757,Bird,Parakeet,16,Brown,Large,9.831172485390116,1,1,51,367,0,0
759,Cat,Siamese,169,Black,Medium,28.150971246408893,1,0,47,483,1,1
760,Bird,Parakeet,59,White,Medium,3.753655775131599,1,0,17,104,1,1
761,Dog,Labrador,57,Orange,Small,18.3676097479622,1,0,58,262,0,1
762,Dog,Golden Retriever,65,White,Medium,6.139236649484968,1,1,10,427,0,0
763,Dog,Poodle,158,Gray,Small,4.284822838875888,1,1,36,10,0,0
764,Rabbit,Rabbit,48,Orange,Large,22.25231178090005,0,0,83,220,0,0
765,Dog,Poodle,114,Black,Small,23.131351674621275,0,1,12,407,0,0
766,Bird,Parakeet,54,White,Large,23.9793324854056,1,0,6,429,1,0
767,Bird,Parakeet,145,Orange,Medium,3.3405451716255934,1,1,63,88,0,0
768,Cat,Persian,113,Orange,Large,8.42030368355417,1,0,76,496,1,0
769,Dog,Labrador,43,Orange,Large,9.420678162094594,0,1,68,107,1,0
772,Cat,Persian,8,White,Medium,13.525637403229036,1,1,89,482,1,1
773,Dog,Golden Retriever,67,Gray,Large,21.518527694617863,1,0,5,497,0,0
774,Dog,Golden Retriever,105,White,Small,28.887306442133905,1,0,56,160,0,0
775,Cat,Persian,128,Gray,Medium,4.383984478141095,0,0,82,169,0,0
776,Cat,Siamese,61,Orange,Large,20.186140912818697,0,1,16,494,0,0
777,Dog,Poodle,134,Gray,Medium,26.844823124652475,1,0,58,386,0,1
778,Rabbit,Rabbit,120,Brown,Large,11.7123437691983,1,0,22,388,0,0
779,Cat,Siamese,56,Black,Medium,6.31875510968245,0,0,63,472,1,0
780,Bird,Parakeet,149,Brown,Small,24.730714773742072,1,0,77,133,1,0
782,Cat,Siamese,7,Gray,Medium,25.634468467928105,0,0,36,296,0,1
783,Rabbit,Rabbit,57,Brown,Small,15.684166045143558,0,0,3,232,1,0
784,Bird,Parakeet,146,Brown,Large,25.198444477266527,1,0,63,482,0,0
785,Bird,Parakeet,127,Brown,Medium,5.856644225951232,1,1,64,285,1,0
787,Bird,Parakeet,85,Brown,Small,22.29498968051012,1,1,31,344,0,0
788,Bird,Parakeet,169,White,Medium,9.296607738906555,0,0,9,6,0,0
789,Bird,Parakeet,139,Black,Small,15.474151085120589,1,0,10,120,0,0
791,Bird,Parakeet,105,Orange,Medium,25.157180240831497,1,0,77,298,1,1
792,Bird,Parakeet,1,White,Small,22.8967520296693,1,0,29,255,0,1
793,Cat,Siamese,27,Black,Medium,12.2046759769674,1,1,36,288,0,0
794,Dog,Golden Retriever,152,Gray,Large,26.349164422749084,1,1,70,342,0,0
795,Dog,Poodle,90,White,Small,4.19499148735536,1,1,37,256,1,0
796,Dog,Poodle,145,Brown,Large,8.720713543465497,1,0,9,31,0,0
797,Bird,Parakeet,137,Brown,Large,24.082987598417617,0,0,16,429,0,0
798,Bird,Parakeet,158,Black,Medium,18.62557471959973,1,0,26,142,0,1
799,Cat,Persian,158,Orange,Medium,24.156043044982336,1,1,63,392,0,0
800,Rabbit,Rabbit,109,Brown,Large,2.572140581973799,1,0,21,16,1,0
801,Rabbit,Rabbit,32,White,Large,11.523108692858,1,0,56,82,1,0
802,Dog,Poodle,89,Orange,Medium,26.09354221682971,1,0,17,35,1,1
804,Bird,Parakeet,169,Black,Large,19.94539668613952,1,0,65,442,1,1
805,Rabbit,Rabbit,6,Brown,Large,12.830915463966068,1,0,23,134,0,1
806,Dog,Labrador,123,Orange,Medium,27.227052905300177,1,0,38,446,0,0
807,Rabbit,Rabbit,162,Brown,Large,15.487427437902053,0,0,15,105,0,0
808,Cat,Persian,166,Gray,Small,27.59187227997217,1,0,35,145,0,0
809,Cat,Siamese,169,Black,Large,27.085870187792985,0,0,4,465,0,0
810,Dog,Labrador,21,Brown,Small,23.1444889455524,1,0,23,448,0,1
811,Dog,Golden Retriever,139,Orange,Large,11.407192038821904,1,0,61,482,1,0
812,Cat,Siamese,65,Brown,Medium,5.9124984893157775,1,0,16,224,1,1
813,Rabbit,Rabbit,3,Black,Large,28.0981862884329,0,0,14,490,1,0
814,Dog,Poodle,160,White,Large,13.253642026491791,0,0,19,436,1,0
815,Cat,Siamese,144,Gray,Small,13.97750718650242,0,0,54,39,0,0
816,Cat,Persian,173,Orange,Medium,27.19674418915845,1,0,10,64,0,1
817,Cat,Persian,65,Gray,Medium,27.608801943294,1,0,75,147,0,1
818,Dog,Labrador,68,White,Large,2.4747492854388127,0,0,22,467,0,0
820,Dog,Poodle,93,Gray,Large,26.03947042113125,1,0,52,451,0,0
824,Cat,Siamese,3,White,Small,1.2731758232009145,1,1,70,418,1,0
825,Bird,Parakeet,174,Orange,Small,19.304454263742063,1,0,89,487,0,0
826,Cat,Persian,87,Gray,Large,3.0417555096729108,1,0,16,153,0,0
827,Dog,Labrador,71,Brown,Medium,6.496052253883927,1,0,30,156,0,1
828,Dog,Poodle,56,Black,Small,16.307187089276944,0,0,26,17,1,0
829,Bird,Parakeet,35,White,Medium,11.43389298807596,1,0,19,317,0,1
830,Dog,Golden Retriever,175,Gray,Large,9.135306833806627,1,0,67,185,1,0
831,Rabbit,Rabbit,149,Gray,Large,17.429026802047073,1,0,53,91,1,0
832,Dog,Poodle,154,Gray,Medium,22.06840564378526,1,1,55,49,0,0
834,Rabbit,Rabbit,164,Gray,Medium,12.055668630471423,0,0,61,95,0,0
835,Rabbit,Rabbit,5,White,Small,9.609974553773249,1,1,3,138,0,0
837,Dog,Golden Retriever,145,Brown,Small,16.08564362399268,1,0,86,466,0,0
839,Dog,Poodle,64,Black,Medium,6.505727147858105,1,0,67,409,1,1
840,Dog,Golden Retriever,38,Black,Medium,3.515710429540065,1,0,50,187,1,1
841,Cat,Siamese,49,Orange,Medium,29.17397434732004,1,0,50,427,0,1
842,Dog,Golden Retriever,79,Black,Small,15.553367034113514,1,0,80,440,0,0
844,Rabbit,Rabbit,104,Black,Large,5.39227104961202,1,0,51,16,0,0
845,Cat,Persian,168,Brown,Small,5.608818238480975,1,0,35,138,0,0
847,Bird,Parakeet,131,White,Small,9.213353430480357,0,0,52,216,0,0
849,Dog,Labrador,24,Black,Small,26.735809031822143,0,0,68,304,0,0
850,Rabbit,Rabbit,35,Brown,Large,28.646174793827857,0,1,67,209,0,0
852,Bird,Parakeet,86,White,Small,2.6883078501848496,1,0,34,90,0,0
853,Bird,Parakeet,60,Gray,Large,25.87516022779485,1,0,69,283,1,0
854,Rabbit,Rabbit,136,Brown,Small,4.56473451997021,1,0,4,400,1,0
856,Rabbit,Rabbit,10,White,Small,19.55348084554225,1,0,76,125,0,1
857,Bird,Parakeet,107,White,Medium,7.02592347643786,1,0,76,113,1,1
858,Bird,Parakeet,155,Orange,Large,8.522592425253762,1,0,1,213,0,0
859,Dog,Golden Retriever,144,White,Medium,11.341658473357198,1,0,77,49,0,1
861,Rabbit,Rabbit,169,Brown,Medium,26.99862327781085,1,0,8,228,0,0
863,Cat,Siamese,61,Black,Medium,12.318349351230957,0,0,42,204,0,0
864,Bird,Parakeet,119,Brown,Medium,12.092049356895236,1,0,45,24,0,1
865,Rabbit,Rabbit,28,Orange,Small,21.0829063700746,1,0,79,310,0,0
866,Bird,Parakeet,119,Gray,Medium,11.76207664188663,1,0,65,423,1,1
867,Bird,Parakeet,118,White,Medium,19.427409700386185,1,0,1,122,0,1
868,Bird,Parakeet,147,Gray,Small,14.834398530201284,1,0,21,220,0,0
869,Rabbit,Rabbit,88,Brown,Large,26.2494725782153,1,0,75,88,0,0
870,Bird,Parakeet,10,Brown,Small,23.87940859411288,0,1,8,149,0,0
871,Bird,Parakeet,132,Brown,Large,23.84262836973687,1,0,54,425,0,0
874,Dog,Poodle,12,White,Large,17.962995925382927,1,1,1,43,1,0
875,Dog,Labrador,109,Gray,Small,14.325565730539209,1,0,85,492,0,1
876,Dog,Labrador,156,Gray,Large,10.837882875337144,0,0,80,476,0,0
877,Dog,Poodle,45,White,Large,24.34015170159769,0,0,76,79,0,0
879,Cat,Siamese,59,Gray,Medium,7.938507019792453,0,0,52,317,1,0
881,Cat,Persian,166,Brown,Large,11.536354590500496,1,1,4,142,1,0
883,Rabbit,Rabbit,133,Orange,Medium,26.68122386398332,0,0,57,401,0,0
884,Cat,Persian,160,Brown,Medium,10.755417978684372,1,0,14,300,0,1
885,Cat,Siamese,60,White,Small,9.09517986344683,1,1,57,88,0,0
886,Dog,Labrador,172,Gray,Medium,1.5137016676722814,1,0,38,348,0,1
887,Rabbit,Rabbit,100,Orange,Small,17.81435500983709,1,1,27,120,0,0
888,Dog,Poodle,72,Orange,Small,27.03904503845332,1,0,66,26,1,1
890,Dog,Labrador,43,White,Small,9.456055716673562,1,0,6,494,0,1
891,Cat,Persian,135,Black,Medium,27.9579097433295,1,0,42,167,0,0
892,Cat,Persian,143,Orange,Medium,3.1125136288107926,1,0,30,102,0,1
893,Rabbit,Rabbit,118,Orange,Small,13.719731642249666,1,0,43,305,0,0
894,Cat,Persian,64,Gray,Small,9.327778188786166,1,1,67,331,0,0
895,Rabbit,Rabbit,17,Black,Medium,22.968903400867767,1,0,40,254,1,1
896,Bird,Parakeet,32,Brown,Large,21.39279375848912,1,1,62,293,0,0
897,Cat,Siamese,141,Gray,Large,12.574171166667146,1,0,15,242,0,1
898,Dog,Golden Retriever,123,Brown,Large,12.129946421298571,1,0,77,28,0,1
899,Dog,Labrador,117,Black,Medium,27.17348259651869,0,0,76,115,0,1
900,Dog,Labrador,130,Brown,Medium,26.32601532447412,1,0,2,410,0,1
903,Bird,Parakeet,34,Gray,Medium,6.144874633514288,0,0,61,460,0,0
904,Cat,Persian,146,Orange,Small,28.96853320747144,0,0,56,5,1,0
905,Rabbit,Rabbit,138,Brown,Small,10.413655144811395,1,0,67,162,1,0
906,Bird,Parakeet,41,Black,Small,27.141958056613007,1,0,41,35,0,0
908,Cat,Persian,17,Black,Large,28.69683242666086,1,1,49,45,1,0
910,Bird,Parakeet,172,White,Medium,29.25613423919689,1,0,14,87,0,1
911,Rabbit,Rabbit,38,White,Medium,15.095281756054971,0,0,17,145,0,0
912,Cat,Siamese,35,Black,Small,12.669413379618474,1,0,15,165,0,0
913,Rabbit,Rabbit,50,Gray,Small,4.82057018932696,0,0,17,306,0,0
